pop_spp,abbrevs,species ,subspecies,geol andre,geol allan
Hopetown_aucampiae_AB,Ht_Auc_AB,,,,
Pofadder.Centre_Fulleri_ABC,Pf.C_Ful_ABC,,,,
Attie1_localis_BA,At_Loc_BA,,,,
Pella_Federici_BCD,Pe_Fed_BCD,,,,
Versebokkraal_localis_CB,Vb_Loc_CB,,,,
Omdraaisvlei_hookeri_CD,Om_Hk_CD,,,,
aggeneys_olivacea_CDE,Ag_Oli_CDE,,,,
MatjiesRd1_comptonii_DC,Mj1_Com_DC,,,,
Copperton_hallii_DE,Cop_Hal_DE,,,,
Blesbergmine1_Marmorata.Elisiae_DEF,Bbm1_Mar_DEF,,,,
MatjiesRd2_Comptonii_ED,Mj2_Com_ED,,,,
SidiBarani_verruculosa_EF,Sb_Ver_EF02,,,,
SidiBarani_fulleri_EF,Sb_Ful_EF01,,,,
Blesbergmine_marmorata_EFG,Bbm_Mar_EFG,,,,
Droedam_Comptonii.Webrii_FE,Dd_Com.W_FE,,,,
kenhardt_fulleri_FG,Ke_Ful_FG,,,,
vioolsdrif_dinteri.brevis_FGH,Vd_Dnt.B_FGH,,,,
Toekoms1_Verruculosa_GF,Tk1_Ver_GF,,,,
pofadder_fulleri_GH,Pf_Ful_GH,,,,
kotzerus_divergens.amethystina_GHI,Kz_Div.A_GHI,,,,
Toekoms2_Verruculosa_HG,Tk2_Ver_HG,,,,
bitterfontein_divergens_HIJ,Bf_Div_HIJ,,,,
Vrede_Hallii_IH,Vr_Hal_IH,,,,
Haasriver1_Oztenia_IJK,Hr1_Ozt_IJK,,,,
Whoenutell_Hookeri_JI,Wh_Hkr_JI,,,,
namies_fulleri_JK,Nm_Ful_JK,,,,
Haasriver2_Oztenia_JKL,Hr2_Ozt_JKL,,,,
Platfontein_leslei.leslei_KJ,Pt_Les.L_KJ,,,,
khoeries_fulleri_KL,Kh_Ful_KL,,,,
platfontein_leslei.venterii_LK,Pt_Les.V_LK,,,,
kangnas_marmorata_LM,Kn_Mar_LM01,,,,
kangnas1_marmorata_LM,Kn1_Mar_LM02,,,,
Boshoff_Lesleii.Venterii_ML,Bh_Les.V_ML,,,,
geselskap_fulleri_MN,Gs_Ful_MN,,,,
Warrenton_leslei_NM,Wtn_Les_NM,,,,
blesberg_marmorata_NO,Bb_Mar_NO,,,,
Baviaanskrans_Salicola_ON,Bv_Sal_ON,,,,
kangnas2_marmorata_OP,Kn2_Mar_OP,,,,
Reynekespan_Hookeri_PO,Ry_Hkr_PO,,,,
lekkersing1_meyeri_PQ,Ls1_Mey_PQ,,,,
Strydenburg_hookeri.hookeri_QP,Stryd_Hkr.H_QP,,,,
lekkersing2_meyeri_QR,Ls2_Mey_QR,,,,
marydale1_hookeri.hookeri_RQ,Md_Hkr.H_RQ,,,,
alexanderbay_herrei_RS,Ab_Her_RS,,,,
boegoesberg_hallii.ochraceae_SR,bg_Hal.O_SR,,,,
rooifontein_naareeniae_ST,Rf_Nar_ST,,,,
Upington_fulleri_TS,Up_Ful_TS,,,,
uitkyk_fulleri_TU,Uk_Ful_TU,,,,
raaswater_bromfeldii.menelli_UT,Rw_Brm.M_UT,,,,
brakfontein_otzeniana_UV,Br_Ozt_UV,,,,
Upington_bromfeldii_VU,Up_Brm_VU,,,,
strykloof_divergens_VX,Stryk_Div_VX,,,,
keimoes1_bromfeldii.insularis_XV,Km1_Brm.I_XV,,,,
Hopetown_aucampiae_XXAH,Ht_Auc_XXAH,,,,
Liebeberg_hookeri_XXHL,Lb_Hkr_XXHL,,,,
namies_olivacea_XXON,Nm_Oli_XXON,,,,
pofadder_olivacea_XXOP,Pf_Oli_XXOP,,,,
SteenkampskraalRd_divergens_XY,Skk_Div_XY,,,,
Pofadder1_olivacea_YX,Pf1_Oli_YX,,,,
